nombre;poblacion;superficie;continente
Niger;27200000;1267000;Africa
Nigeria;223800000;923768;Africa
Republica Centroafricana;5700000;622984;Africa
Republica Democratica del Congo;102200000;2344858;Africa
Republica del Congo;6100000;342000;Africa
Ruanda;14000000;26338;Africa
Santo Tome y Principe;231000;964;Africa
Senegal;17700000;196712;Africa
Seychelles;107000;455;Africa
Sierra Leona;8700000;71740;Africa
Somalia;18100000;637657;Africa
Sudafrica;60400000;1221037;Africa
Sudan;48100000;1886068;Africa
Sudan del Sur;11000000;644329;Africa
Suazilandia;1200000;17364;Africa
Tanzania;67400000;947300;Africa
Togo;9000000;56785;Africa
Tunez;12400000;163610;Africa
Uganda;48500000;241038;Africa
Zambia;20500000;752618;Africa
Zimbabue;16600000;390757;Africa
Antigua y Barbuda;94000;442;America
Argentina;46600000;2780400;America
Bahamas;412000;13880;America
Barbados;281000;430;America
Belice;411000;22966;America
Bolivia;12300000;1098581;America
Brasil;216400000;8515767;America
Canada;40700000;9984670;America
Chile;19600000;756102;America
Colombia;52000000;1141748;America
Costa Rica;5200000;51100;America
Cuba;11100000;109884;America
Dominica;73000;751;America
Ecuador;18100000;283561;America
El Salvador;6300000;21041;America
Estados Unidos;339900000;9833520;America
Granada;126000;344;America
Guatemala;17900000;108889;America
Guyana;813000;214969;America
Haiti;11700000;27750;America
Honduras;10500000;112492;America
Jamaica;2800000;10991;America
Mexico;128400000;1964375;America
Nicaragua;7000000;130373;America
Panama;4400000;75417;America
Paraguay;6800000;406752;America
Peru;34300000;1285216;America
Republica Dominicana;11300000;48671;America
San Cristobal y Nieves;47000;261;America
San Vicente y las Granadinas;103000;389;America
Santa Lucia;180000;616;America
Surinam;623000;163820;America
Trinidad y Tobago;1500000;5131;America
Uruguay;3400000;176215;America
Venezuela;28800000;916445;America
